,,,total_cand,total_cand,total_cand,total_cand,total_cand,total_cand,total_cand,total_cand
,,,count,mean,std,min,25%,50%,75%,max
UF,Gênero,Raça,,,,,,,,
MT,FEMININO,BRANCA,25.0,761055.5923999998,825918.0162647489,2000.0,119808.52,508000.0,1134250.0,2550968.11
MT,FEMININO,NÃO BRANCO,26.0,340753.57769230765,662468.1244752924,3000.0,22973.0175,117982.26000000001,356216.44,3204000.52
MT,MASCULINO,BRANCA,49.0,716752.1644897959,936326.9777022116,1000.0,22500.0,257000.0,1143653.11,3290237.67
MT,MASCULINO,NÃO BRANCO,46.0,435668.971521739,681813.0369098352,1700.0,39369.68,137258.76,450430.89,2619349.52
PA,FEMININO,BRANCA,28.0,435345.65785714285,578228.4434818327,1250.0,103317.5,182119.16999999998,498252.3775,2591487.0
PA,FEMININO,NÃO BRANCO,75.0,272765.8816000001,412797.2876427724,490.0,17233.59,101040.0,295250.0,1754659.4
PA,MASCULINO,BRANCA,53.0,631959.16,866484.3079147522,490.0,70000.0,225623.07,750597.89,3030500.6
PA,MASCULINO,NÃO BRANCO,119.0,245751.2096638655,449038.32685650705,240.0,25293.0,100411.63,274833.235,2955584.0
PB,FEMININO,BRANCA,29.0,312907.39896551723,391033.13287490397,1347.25,57118.64,110805.76,433075.26,1458991.64
PB,FEMININO,NÃO BRANCO,38.0,333575.76052631583,457457.0181712297,2118.64,63014.705,176499.54499999998,277650.0,1899340.0
PB,MASCULINO,BRANCA,63.0,525548.9046031747,822379.0860023635,720.0,19855.5,111200.0,600450.0,2920798.05
PB,MASCULINO,NÃO BRANCO,62.0,301059.25532258063,594423.232514296,625.0,20634.5,48917.5,333858.19,3186350.0
PE,FEMININO,BRANCA,58.0,485615.68086206896,792470.2437377815,600.0,20696.7275,175000.0,510236.41500000004,3222544.0
PE,FEMININO,NÃO BRANCO,84.0,149184.19476190474,242799.23297849225,600.0,9556.165,64091.75,152500.0,1566000.0
PE,MASCULINO,BRANCA,123.0,637267.5832520328,971620.8688052605,1069.43,21112.73,100000.0,951408.21,3178304.0
PE,MASCULINO,NÃO BRANCO,135.0,238013.62377777774,469468.16119176656,592.5,17500.0,89800.0,200000.0,3332410.09
PI,FEMININO,BRANCA,22.0,600998.4609090909,945199.8684301582,1600.0,50414.33,112446.155,612289.5,3073160.0
PI,FEMININO,NÃO BRANCO,43.0,182883.47837209303,503629.9064969375,300.0,16252.204999999998,25000.0,82150.0,3050966.0
PI,MASCULINO,BRANCA,26.0,891067.0292307693,931559.7407267233,300.0,68063.38999999998,480719.7,1814000.9675,2927621.1
PI,MASCULINO,NÃO BRANCO,62.0,335158.4733870968,652525.267001355,300.0,15000.0,47078.11,193950.0,2688615.09
PR,FEMININO,BRANCA,150.0,229082.46613333334,498918.46423752053,500.0,20041.25,64838.175,206122.7175,3156387.35
PR,FEMININO,NÃO BRANCO,59.0,174192.93677966102,264912.92182179954,1000.0,21879.0,63950.29,177245.89,1329950.55
PR,MASCULINO,BRANCA,280.0,381719.6973928571,730178.3396553546,500.0,15000.0,57306.225,275110.115,3165241.66
PR,MASCULINO,NÃO BRANCO,104.0,164418.8270192308,406217.468329077,500.0,22153.6475,52678.5,129552.83499999999,3176642.3
RJ,FEMININO,BRANCA,154.0,240036.99922077922,537411.1889989742,150.0,20000.0,50000.0,155625.0,3081522.0
RJ,FEMININO,NÃO BRANCO,176.0,183656.878125,477189.08466600685,1462.3100000000002,20000.0,40000.0,100750.0,3176000.0
RJ,MASCULINO,BRANCA,364.0,354828.3442582417,643673.492255441,13.4,20000.0,84446.73,331914.3125,3062000.0
RJ,MASCULINO,NÃO BRANCO,279.0,168368.44530465946,435489.8073511883,600.0,10509.5,31016.38,94281.25,3205227.85
RN,FEMININO,BRANCA,35.0,563118.0871428571,676807.3966911411,2000.0,83055.55,254900.0,831150.0,2516500.0
RN,FEMININO,NÃO BRANCO,30.0,259063.96766666663,531191.8106696971,650.0,17532.762499999997,53577.58,227498.05000000002,2722500.0
RN,MASCULINO,BRANCA,53.0,582643.9401886791,769716.3249456155,1000.0,34000.0,253512.5,696592.08,3083404.69
RN,MASCULINO,NÃO BRANCO,45.0,160308.94733333334,301235.30973907874,611.0,11000.0,42200.0,200000.0,1416200.64
RO,FEMININO,BRANCA,22.0,419472.91318181827,484189.39976610674,10877.37,59091.035,248441.72999999998,567186.1975,2024505.2
RO,FEMININO,NÃO BRANCO,30.0,492466.6913333333,659929.3437208441,15150.0,144745.0,290489.065,571170.125,3245823.67
RO,MASCULINO,BRANCA,34.0,817487.5867647058,875817.1071047275,5000.0,126278.0,462757.0,1230978.7925,2886050.0
RO,MASCULINO,NÃO BRANCO,52.0,395229.5301923077,527725.8947110301,205.0,30000.0,236491.22999999998,423924.75,2101406.01
RR,FEMININO,BRANCA,12.0,455632.0266666667,512093.04470059765,27468.62,101743.015,252593.1,533570.0,1710000.0
RR,FEMININO,NÃO BRANCO,47.0,265440.2142553191,380868.6936570003,600.0,23491.34,101000.0,413509.055,2117575.7
RR,MASCULINO,BRANCA,24.0,430416.94583333336,484489.98233057384,4133.33,40155.0,300910.435,562847.5,1916407.41
RR,MASCULINO,NÃO BRANCO,66.0,227841.03469696967,300171.6163810027,700.0,12553.1725,111596.455,328400.0,1500000.0
RS,FEMININO,BRANCA,130.0,196707.43469230784,410484.3982589374,980.0,36884.26,66084.23,118507.34,2542295.26
RS,FEMININO,NÃO BRANCO,45.0,178716.2075555556,335236.8036183855,1010.0,40000.0,70000.0,128099.98000000001,1592025.26
RS,MASCULINO,BRANCA,275.0,344332.82581818156,653871.5404723489,80.0,29614.58,52040.0,230301.175,3190936.0700000003
RS,MASCULINO,NÃO BRANCO,66.0,123983.02196969696,246998.95297379652,1079.5,25663.1675,45700.490000000005,102300.0,1746512.5899999999
SC,FEMININO,BRANCA,75.0,373300.9814666667,699735.6736034505,180.0,50000.0,115297.69,297030.0,3201072.5300000003
SC,FEMININO,NÃO BRANCO,29.0,205446.981724138,321868.1293243584,15201.619999999999,40000.0,120274.0,202693.37,1625000.0
SC,MASCULINO,BRANCA,156.0,351060.20064102556,560634.7115490206,500.0,34865.3825,112316.52,358926.28500000003,2863867.2
SC,MASCULINO,NÃO BRANCO,24.0,167614.25291666665,180434.60418616363,10100.0,33365.6175,100450.0,229711.6375,638254.72
SE,FEMININO,BRANCA,21.0,428671.19999999995,873851.8776934298,600.0,10669.48,62632.92999999999,173000.0,3056673.93
SE,FEMININO,NÃO BRANCO,36.0,283702.64916666667,502416.2713855297,600.0,15000.0,63074.899999999994,314340.405,2317752.27
SE,MASCULINO,BRANCA,29.0,493930.8141379311,695136.0973915443,600.0,20200.0,103543.4,629736.46,2223510.0
SE,MASCULINO,NÃO BRANCO,62.0,198540.04564516133,402226.36143326986,450.0,7871.3724999999995,24755.58,192821.675,2528845.0
SP,FEMININO,BRANCA,268.0,328391.2138432837,663321.6911707271,16.5,19873.1325,63698.445,214268.0475,3313917.4
SP,FEMININO,NÃO BRANCO,181.0,264636.63436464086,572707.0273380548,100.0,20000.0,50000.0,198999.96,2923182.52
SP,MASCULINO,BRANCA,665.0,430819.13452631596,749650.3856758128,300.0,19966.7,83758.4,385186.0,3789999.99
SP,MASCULINO,NÃO BRANCO,276.0,247871.680978261,540256.9736634638,90.96,12514.32,50000.0,168702.055,3093528.55
TO,FEMININO,BRANCA,20.0,483448.254,666186.3771470714,200.0,99031.75,235280.0,587817.645,2525000.0
TO,FEMININO,NÃO BRANCO,34.0,466155.68294117646,502811.91211839125,4758.32,115625.0,316620.0,550000.0,1965101.1199999999
TO,MASCULINO,BRANCA,26.0,528534.5934615384,808135.7356299559,1060.0,90720.25,234770.0,539915.6325000001,3147404.99
TO,MASCULINO,NÃO BRANCO,66.0,493055.03257575753,656709.9962557617,800.0,51858.65,300400.0,591685.0,2870000.0
