,,,total_cand,total_cand,total_cand,total_cand,Nome_Candidato
,,,sum,mean,median,max,count
UF,Gênero,Raça,,,,,
PE,MASCULINO,BRANCA,120936748.19,532761.0052422908,54918.85,3178304.0,227
PE,MASCULINO,NÃO BRANCO,38179502.97,177579.08358139533,31686.920000000002,3332410.09,215
PI,FEMININO,BRANCA,21713632.84,504968.20558139536,100000.0,3073160.0,43
PI,FEMININO,NÃO BRANCO,8956415.16,151803.646779661,24140.0,3050966.0,59
PI,MASCULINO,BRANCA,33974872.56,566247.876,91598.6,2927621.1,60
PI,MASCULINO,NÃO BRANCO,26239265.75,257247.70343137256,23339.335,2688615.09,102
PR,FEMININO,BRANCA,45045626.83,184613.22471311476,42403.0,3156387.35,244
PR,FEMININO,NÃO BRANCO,10535520.51,152688.70304347825,60997.37,1329950.55,69
PR,MASCULINO,BRANCA,168232713.0,341936.40853658534,38077.09,3165241.66,492
PR,MASCULINO,NÃO BRANCO,22189732.12,150950.5586394558,33183.0,3176642.3,147
RJ,FEMININO,BRANCA,56178773.58,205783.0534065934,25000.0,3081522.0,273
RJ,FEMININO,NÃO BRANCO,39918668.41,133955.26312080535,20817.915,3176000.0,298
RJ,MASCULINO,BRANCA,198554497.54,288596.65340116277,43375.705,3062000.0,688
RJ,MASCULINO,NÃO BRANCO,62625471.66,128594.39765913757,17962.45,3205227.85,487
RN,FEMININO,BRANCA,22885322.63,423802.2709259259,115416.035,2516500.0,54
RN,FEMININO,NÃO BRANCO,9081863.84,221508.87414634146,44919.8,2722500.0,41
RN,MASCULINO,BRANCA,45392412.769999996,504360.14188888884,180500.0,3083404.69,90
RN,MASCULINO,NÃO BRANCO,9700008.56,138571.55085714287,22197.88,1830976.97,70
RO,FEMININO,BRANCA,14522165.76,440065.6290909091,159300.0,2467996.5,33
RO,FEMININO,NÃO BRANCO,19685675.18,410118.23291666666,209643.325,3245823.67,48
RO,MASCULINO,BRANCA,33673688.3,534502.9888888889,129212.0,2886050.0,63
RO,MASCULINO,NÃO BRANCO,26636667.49,317103.1844047619,84200.0,2101406.01,84
RR,FEMININO,BRANCA,11166416.76,446656.6704,102324.02,2446865.25,25
RR,FEMININO,NÃO BRANCO,14950554.57,210571.19112676056,52050.0,2117575.7,71
RR,MASCULINO,BRANCA,13415434.44,285434.7753191489,61064.1,1916407.41,47
RR,MASCULINO,NÃO BRANCO,22223230.86,203882.8519266055,52000.0,1799236.12,109
RS,FEMININO,BRANCA,35134337.98,156152.61324444442,49500.0,2542295.26,225
RS,FEMININO,NÃO BRANCO,8925502.45,137315.4223076923,59007.43,1592025.26,65
RS,MASCULINO,BRANCA,154208947.34,316001.9412704918,47280.020000000004,3190936.0700000003,488
RS,MASCULINO,NÃO BRANCO,9249102.39,96344.81656250001,35498.15,1746512.5899999999,96
SC,FEMININO,BRANCA,38522043.69,298620.4937209302,71004.68,3201072.5300000003,129
SC,FEMININO,NÃO BRANCO,6450761.23,189728.27147058825,94326.47,1625000.0,34
SC,MASCULINO,BRANCA,84207612.92,301819.4011469534,76408.38,2863867.2,279
SC,MASCULINO,NÃO BRANCO,5348423.08,152812.088,41837.49,678859.54,35
SE,FEMININO,BRANCA,9689383.57,302793.2365625,39503.0,3056673.93,32
SE,FEMININO,NÃO BRANCO,11303082.299999999,205510.58727272725,25000.0,2317752.27,55
SE,MASCULINO,BRANCA,22600333.71,426421.390754717,52352.52,2223510.0,53
SE,MASCULINO,NÃO BRANCO,17426969.66,169193.88019417477,19208.46,2528845.0,103
SP,FEMININO,BRANCA,122289794.52,233377.47045801525,35127.395000000004,3313917.4,524
SP,FEMININO,NÃO BRANCO,54584910.04,186296.62129692832,30000.0,2923182.52,293
SP,MASCULINO,BRANCA,436871869.73,335539.07045314903,48651.05,3789999.99,1302
SP,MASCULINO,NÃO BRANCO,83197779.18,178536.00682403435,25000.0,3093528.55,466
TO,FEMININO,BRANCA,16790045.54,524688.923125,193061.22999999998,2525000.0,32
TO,FEMININO,NÃO BRANCO,15982993.37,389829.10658536584,228560.0,1965101.1199999999,41
TO,MASCULINO,BRANCA,19814040.3,404368.1693877551,172947.2,3147404.99,49
TO,MASCULINO,NÃO BRANCO,37364458.85,410598.4489010989,203000.0,2870000.0,91
